Brazil,Palmas,10∞11'S,48∞20'W
Poland,PoznaÅ„,52∞24'N,16∞55'E
Austria,Innsbruck,47∞16'N,11∞23'E
Russia,Vladivostok,43∞08'N,131∞54'E
China,Chengdu,30∞40'N,104∞04'E
Brazil,SÃ£o Paulo,23∞33'S,46∞38'W
United States,El Paso,31∞47'N,106∞25'W
United States,Dover,39∞10'N,75∞32'W
Spain,Ibiza,38∞59'N,1∞26'E
Canada,Regina,50∞27'N,104∞36'W
Thailand,Pattaya,12∞56'N,100∞53'E
Indonesia,Medan,3∞35'N,98∞40'E
Philippines,Zamboanga City,6∞54'N,122∞04'E
United States,Boise,43∞37'N,116∞12'W
Russia,Perm,58∞00'N,56∞19'E
Sweden,Ã–stersund,63∞11'N,14∞40'E
Iceland,Akureyri,65∞41'N,18∞06'W
Norway,Sarpsborg,59∞17'N,11∞12'E
Chile,Valdivia,39∞49'S,73∞15'W
New Zealand,Invercargill,46∞25'S,168∞21'E
New Zealand,Wellington,41∞17'S,174∞47'E
United States,Rochester,43∞10'N,77∞37'W
South Korea,Daegu,35∞52'N,128∞36'E
Norway,Longyearbyen,78∞13'N,15∞39'E
United Kingdom,Jamestown,15∞55'S,5∞43'W
India,Kulpahar,25∞19'N,79∞38'E
United States,Kansas City,39∞06'N,94∞35'W
France,Lyon,45∞46'N,4∞51'E
Switzerland,Basel,47∞34'N,7∞36'E
Japan,Tottori,35∞30'N,134∞14'E
Slovakia,Bratislava,48∞09'N,17∞07'E
Sierra Leone,Freetown,8∞29'N,13∞14'W
Costa Rica,Alajuela,10∞01'N,84∞13'W
Saint Kitts and Nevis,Basseterre,17∞18'N,62∞44'W
Indonesia,Palembang,2∞59'S,104∞45'E
Italy,Turin,45∞04'N,7∞42'E
Iraq,Basra,30∞30'N,47∞49'E
Philippines,Iloilo City,10∞43'N,122∞34'E
Mexico,Zapopan,20∞43'N,103∞24'W
Philippines,Makati,14∞33'N,121∞02'E
China,Zhengzhou,34∞46'N,113∞39'E
United States,Salt Lake City,40∞45'N,111∞53'W
Brazil,Fortaleza,3∞43'S,38∞33'W
United States,Seattle,47∞37'N,122∞20'W
China,Shanghai,31∞12'N,121∞30'E
Honduras,Tegucigalpa,14∞06'N,87∞13'W
France,Mata-Utu,13∞17'S,176∞11'W
Pakistan,Lahore,31∞33'N,74∞21'E
Mali,Bamako,12∞39'N,8∞00'W
Palau,Melekeok,7∞29'N,134∞36'E
Indonesia,Jayapura,2∞32'S,140∞43'E
Venezuela,Caracas,10∞30'N,66∞55'W
Italy,Rome,41∞54'N,12∞30'E
Canada,Grise Fiord,76∞25'N,82∞54'W
Malaysia,George Town,5∞25'N,100∞19'E
Afghanistan,Kabul,34∞32'N,69∞10'E
Argentina,Buenos Aires,34∞36'S,58∞23'W
United Kingdom,Coventry,52∞24'N,1∞31'W
Moldova,Tiraspol,46∞51'N,29∞38'E
Dominica,Roseau,15∞18'N,61∞23'W
Burkina Faso,Bobo-Dioulasso,11∞11'N,4∞17'W
Paraguay,AsunciÃ_n,25∞17'S,57∞38'W
Thailand,Surat Thani,9∞08'N,99∞20'E
France,Cayenne,4∞55'N,52∞20'W
Morocco,Marrakech,31∞38'N,8∞01'W
India,Bangalore,12∞58'N,77∞34'E
United States,Cleveland,41∞29'N,81∞40'W
France,Saint-Denis,20∞53'S,55∞27'E
United States,Knoxville,35∞58'N,83∞57'W
Bangladesh,Chittagong,22∞22'N,91∞48'E
Barbados,Bridgetown,13∞06'N,59∞37'W
Austria,Linz,48∞18'N,14∞17'E
Australia,Geelong,38∞09'S,144∞21'E
Pakistan,Rawalpindi,33∞36'N,73∞02'E
Canada,North Bay,46∞18'N,79∞27'W
Germany,DÃ_sseldorf,51∞14'N,6∞47'E
Italy,Catania,37∞30'N,15∞05'E
Canada,Grande Prairie,55∞10'N,118∞48'W
Germany,Hannover,52∞22'N,9∞43'E
South Africa,Nelspruit,25∞28'S,30∞59'E
China,Shenyang,41∞49'N,123∞25'E
Denmark,TÃ_rshavn,62∞01'N,6∞46'W
Iraq,Arbil,36∞11'N,44∞01'E
Canada,Charlottetown,46∞14'N,63∞09'W
United States,Houston,29∞46'N,95∞23'W
United Kingdom,Grytviken,54∞17'S,36∞30'W
United Kingdom,Nottingham,52∞57'N,1∞08'W
Mexico,Ensenada,31∞51'N,116∞36'W
Brazil,Boa Vista,2∞49'N,60∞40'W
Canada,Ottawa,45∞25'N,75∞41'W
United States,Orlando,28∞25'N,81∞18'W
United States,Cheyenne,41∞09'N,104∞48'W
Denmark,Aarhus,56∞09'N,10∞13'E
Norway,TromsÃ¸,69∞41'N,18∞57'E
Iran,Isfahan,32∞38'N,51∞39'E
Greece,Thessaloniki,40∞39'N,22∞54'E
Mexico,QuerÃ©taro,20∞35'N,100∞24'W
Brazil,Teresina,5∞06'S,42∞48'W
Russia,Voronezh,51∞40'N,39∞13'E
Japan,Nemuro,43∞20'N,145∞35'E
Taiwan,Taibei,25∞02'N,121∞38'E
Mexico,Acapulco,16∞52'N,99∞53'W
Malaysia,Kota Bharu,6∞08'N,102∞15'E
Antigua and Barbuda,St. John's,17∞07'N,61∞51'W
Italy,Bologna,44∞30'N,11∞21'E
Russia,Saint Petersburg,59∞57'N,30∞18'E
United Kingdom,Glasgow,55∞51'N,4∞16'W
Bosnia,Sarajevo,43∞51'N,18∞21'E
United States,Dededo,13∞31'N,144∞50'E
Germany,Hamburg,53∞34'N,10∞00'E
Turkey,Eskisehir,39∞47'N,30∞31'E
Chile,Iquique,20∞13'S,70∞09'W
Argentina,Trelew,43∞15'S,65∞18'W
Belgium,Ghent,51∞03'N,3∞44'E
Germany,Cologne,50∞57'N,6∞58'E
Sweden,Ã–rnskÃ¶ldsvik,63∞17'N,18∞44'E
Andorra,Andorra la Vella,42∞30'N,1∞30'E
Thailand,Nakhon Ratchasima,14∞59'N,102∞06'E
Brazil,Juazeiro do Norte,7∞12'S,39∞20'W
Netherlands,Maastricht,50∞51'N,5∞41'E
South Korea,Seoul,37∞34'N,126∞59'E
Finland,Oulu,65∞01'N,25∞28'E
United States,Deadhorse,70∞12'N,148∞31'W
Azerbaijan,Baku,40∞24'N,49∞53'E
Brazil,Fernando de Noronha,3∞51'S,32∞25'W
China,Tianjin,39∞08'N,117∞11'E
Mexico,Mexico City Mexico City,19∞26'N,99∞08'W
China,Handan,36∞36'N,114∞29'E
China,Xi'an,34∞16'N,108∞54'E
Malaysia,Kuala Lumpur,3∞09'N,101∞42'E
Australia,Mandurah,32∞32'S,115∞43'E
Bahamas,Nassau,25∞04'N,77∞20'W
Spain,Sevilla,37∞23'N,5∞59'W
Japan,Asahikawa,43∞46'N,142∞22'E
United States,Detroit,42∞20'N,83∞03'W
South Sudan,Juba,4∞51'N,31∞36'E
Nicaragua,Chinandega,12∞37'N,87∞09'W
Iraq,Kirkuk,35∞28'N,44∞19'E
Japan,Fukushima,37∞46'N,140∞28'E
India,Agartala,23∞50'N,91∞16'E
Croatia,Split,43∞30'N,16∞26'E
Finland,Kemi,65∞44'N,24∞34'E
United Kingdom,Birmingham,52∞29'N,1∞54'W
Italy,Milan,45∞28'N,9∞11'E
Portugal,Flores Island,39∞28'N,31∞14'W
United Kingdom,Oxford,51∞45'N,1∞15'W
United Kingdom,Bath,51∞23'N,2∞22'W
Australia,Cairns,16∞56'S,145∞47'E
Madagascar,Antananarivo,18∞56'S,47∞31'E
Italy,Palermo,38∞07'N,13∞22'E
Ghana,Tamale,9∞24'N,0∞51'W
Bolivia,La Paz,16∞30'S,68∞09'W
Venezuela,Maracay,10∞15'N,67∞36'W
Finland,Kuopio,62∞54'N,27∞41'E
United Kingdom,Bristol,51∞27'N,2∞35'W
Saudi Arabia,Dammam,26∞17'N,50∞12'E
Japan,Niigata,37∞55'N,139∞02'E
United States,Philadelphia,39∞57'N,75∞10'W
United Kingdom,Gloucester,51∞52'N,2∞14'W
Japan,Tsu,34∞43'N,136∞30'E
Switzerland,Bern,46∞57'N,7∞27'E
Australia,Adelaide,34∞56'S,138∞36'E
Argentina,RÃ_o Gallegos,51∞38'S,69∞13'W
Thailand,Hat Yai,7∞01'N,100∞28'E
Vietnam,Hai Phong,20∞51'N,106∞41'E
Canada,Yellowknife,62∞27'N,114∞24'W
United States,Trenton,40∞13'N,74∞46'W
Thailand,Ayutthaya,14∞21'N,100∞34'E
Spain,Las Palmas de Gran Canaria,28∞09'N,15∞25'W
Poland,GdaÅ„sk,54∞22'N,18∞38'E
United States,Barrow,71∞18'N,156∞46'W
Fiji,Labasa,16∞26'S,179∞22'E
Swaziland,Lobamba,26∞25'S,31∞10'E
United States,Sacramento,38∞33'N,121∞28'W
Turkey,Gaziantep,37∞04'N,37∞23'E
United Kingdom,George Town,19∞18'N,81∞23'W
United States,Nashville,36∞10'N,86∞47'W
United States,Charlotte,35∞14'N,80∞51'W
Brazil,Sobral,3∞40'S,40∞14'W
United States,Riverside,33∞57'N,117∞24'W
Bolivia,Santa Cruz de la Sierra,17∞48'S,63∞10'W
